t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
23.77,0.9139234755792807,0.05696307234310779,0.9139234755792807,nominal,nominal,false
23.89,0.9254244875632835,0.04919386151380619,0.9254244875632835,nominal,nominal,false
23.97,0.908290580073032,0.10407902578073853,0.908290580073032,nominal,nominal,false
24.07,0.8972301121067161,0.1059225274218615,0.8972301121067161,nominal,nominal,false
24.17,0.8894162661327598,0.10871296638004548,0.8894162661327598,nominal,nominal,false
24.27,0.8921383168681685,0.09130650513272569,0.8921383168681685,nominal,nominal,false
24.37,0.8957178624011773,0.08679438843380481,0.8957178624011773,nominal,nominal,false
24.47,0.901108151675199,0.07933103503098321,0.901108151675199,nominal,nominal,false
24.57,0.916716736410741,0.05144793875542349,0.916716736410741,nominal,nominal,false
24.67,0.9274656631533205,0.04838711045572163,0.9274656631533205,nominal,nominal,false
24.78,0.9427028686691505,0.029207004439140045,0.9427028686691505,nominal,nominal,false
24.87,0.9398502199457657,0.05549831420312704,0.9398502199457657,nominal,nominal,false
24.97,0.9269765135675396,0.0807323834499977,0.9269765135675396,nominal,nominal,false
25.07,0.9168671764187886,0.08622491010773242,0.9168671764187886,nominal,nominal,false
25.17,0.9192563148640174,0.06691615239078955,0.9192563148640174,nominal,nominal,false
25.27,0.9163262551113311,0.07682564016761714,0.9163262551113311,nominal,nominal,false
25.37,0.9089221627381271,0.08982508710158021,0.9089221627381271,nominal,nominal,false
25.47,0.9006078627986475,0.09885827472441389,0.9006078627986475,nominal,nominal,false
25.58,0.8974529616882783,0.09456801147876147,0.8974529616882783,nominal,nominal,false
25.67,0.8924139590318687,0.1019424791198654,0.8924139590318687,nominal,nominal,false
25.77,0.8909643102899857,0.09824539586767884,0.8909643102899857,nominal,nominal,false
25.88,0.882247296725456,0.11684541827443862,0.882247296725456,nominal,nominal,false
25.97,0.8630264720863382,0.15107317428502398,0.8630264720863382,nominal,nominal,false
26.07,0.8517399867987783,0.15045901236861353,0.8517399867987783,nominal,nominal,false
26.17,0.8507567237930748,0.1361368277972783,0.8507567237930748,nominal,nominal,false
26.28,0.8490282399550013,0.13893438303322472,0.8490282399550013,nominal,nominal,false
26.37,0.8510029280356045,0.13155426358085837,0.8510029280356045,nominal,nominal,false
26.47,0.8447724165639424,0.14984393942700597,0.8447724165639424,nominal,nominal,false
26.57,0.8459672116739463,0.13763200395428474,0.8459672116739463,nominal,nominal,false
26.67,0.8383358033648144,0.15840432237399163,0.8383358033648144,nominal,nominal,false
26.77,0.8324980012201444,0.16158229758506745,0.8324980012201444,nominal,nominal,false
26.87,0.8234619184683929,0.17569572661871152,0.8234619184683929,nominal,nominal,false
26.97,0.8153935737217667,0.18253180765592128,0.8153935737217667,nominal,nominal,false
27.07,0.8000242699663143,0.2102942790298315,0.8000242699663143,nominal,nominal,false
27.17,0.7889799848616964,0.21519598044172158,0.7889799848616964,nominal,nominal,false
27.27,0.7784720965288427,0.2257308770082942,0.7784720965288427,nominal,nominal,false
27.37,0.7689613891649031,0.23453429174340992,0.7689613891649031,nominal,nominal,false
27.47,0.7608152566253787,0.2412964580007431,0.7608152566253787,nominal,nominal,false
27.57,0.7546281711152161,0.24492055742527657,0.7546281711152161,nominal,nominal,false
27.68,0.7495541179537242,0.24873567222550969,0.7495541179537242,nominal,nominal,false
27.77,0.7467404121851158,0.24808805824903912,0.7467404121851158,nominal,nominal,false
27.87,0.7461462010057178,0.24502416051865988,0.7461462010057178,nominal,nominal,false
27.97,0.7464429207832428,0.2432000312951082,0.7464429207832428,nominal,nominal,false
28.07,0.7463239569476976,0.24402886881568694,0.7463239569476976,nominal,nominal,false
28.17,0.751988212400097,0.22816618594771057,0.751988212400097,nominal,nominal,false
28.27,0.7568232573622989,0.22424020634377972,0.7568232573622989,nominal,nominal,false
28.37,0.764076149459854,0.21245807218759882,0.764076149459854,nominal,nominal,false
28.47,0.7737230670583143,0.19834311052656028,0.7737230670583143,nominal,nominal,false
28.57,0.7859069251713556,0.18160731788842882,0.7859069251713556,nominal,nominal,false
28.67,0.8036573403588871,0.15499059737109813,0.8036573403588871,nominal,nominal,false
